firstName,phone,note
Alice,9876543210,Interested in premium plan
Bob,9876543210,Requested call back
Charlie,9876543210,Follow up next week
David,9988776655,Needs product demo
Eve,9090909090,Potential lead
Frank,9345678901,Asked for brochure
Grace,9456123789,Meeting scheduled
Heidi,9781234567,Follow up after 2 days
Ivan,9898989898,Negotiating deal
Judy,9234567890,New customer
Karl,9345098765,Demo completed
Laura,9786453120,Needs quotation
Mallory,9456123478,Not interested
Nathan,9123498765,Requested callback next month
Olivia,9345671234,Waiting for confirmation
Peggy,9678452310,Ask for referral
Quentin,9456789023,Sent email
Rita,9871230987,Needs team approval
Steve,9234098765,Free trial user
Trent,9789012345,Call next Monday
Uma,9567123045,Looking for bulk order
Victor,9456009876,Requested video tutorial
Wendy,9234987123,Feedback pending
Xavier,9345678943,Waiting on manager approval
Yvonne,9782309456,Replied positively
Zack,9234000000,Requested invoice
